Overview,ListingName,ListingIcon,ListingSellerName,Built_By,ListingRank,ListingScrapeDate,ListingURL,Side_Description,pic_urls,video_urls
"Enhance threat detection and response by integrating Proofpoint TAP data into Falcon LogScale, allowing analysis and visualization. The pre-built package offers dashboard insights into permitted and blocked email messages and clicks, empowering your team with valuable email security intelligence.",Proofpoint Targeted Attack Protection (TAP) for Falcon LogScale,images.store.crowdstrike.com/9748z14dd5zg/elDBw02rxKcbNOn36WcDb/e272425876e53af9920fdad5e692a5ae/Proofpoint_icon_square.png,Proofpoint,Proofpoint, order on list 9,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Amid rapid acceleration of digital transformations, the risk exposure has grown, and CrowdStrike Falcon Discover with Asset Graph aids in accurately identifying assets across systems to enhance visibility for secure operations. By integrating ServiceNow data into Falcon Discover, you gain enriched context, enabling a comprehensive understanding of your organization’s security posture and transforming how security hygiene is enforced.",ServiceNow CMDB Ingest for Falcon Discover,images.store.crowdstrike.com/9748z14dd5zg/ZO2TlKbifeFd5puF4KvYn/1d6d515c126991b0ec4592aafd86ff26/ServiceNow_icon_square.png,,, order on list 10,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Simplify your data handling by integrating ServiceNow GlideRecord logs into Falcon LogScale through a convenient pre-built package, enhancing insights and visibility. This ServiceNow package facilitates easy extraction of pertinent information by parsing incoming records, and it comes with a dedicated application available on the ServiceNow Store for efficient data ingestion and table selection.",ServiceNow Records for Falcon LogScale,images.store.crowdstrike.com/9748z14dd5zg/ZO2TlKbifeFd5puF4KvYn/1d6d515c126991b0ec4592aafd86ff26/ServiceNow_icon_square.png,ServiceNow,ServiceNow, order on list 11,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Zscaler supplies essential telemetry data to CrowdStrike empowering security professionals with a comprehensive view of potential threats across different areas of your organization. By integrating Zscaler Zero Trust Exchange™ SSE events with the Falcon platform, alongside other threat indicators, you can accelerate threat identification , streamline investigation processes, and enhance accuracy. This unified approach minimizes the need to switch between different interfaces, ensuring quicker detection and response.",Zscaler Data Connector,images.store.crowdstrike.com/9748z14dd5zg/6tCkFZ68OYvdpQnoKROVwt/2897d9a4861f31ef4a8468fd13eef7c4/Zscaler_icon_square.png,Zscaler,Zscaler, order on list 12,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"ZIA™ integrates with CrowdStrike Falcon Insight XDR to leverage the Zero Trust Assessment (ZTA) score to make sure only authenticated users with trusted devices are allowed to access critical internet applications everywhere; CrowdStrike also shares threat intelligence with ZIA so that ZIA can block threats inline, increasing cross-platform visibility and defense capabilities.  Zscaler Sandbox intercepts zero-day malware inline and shares telemetry with CrowdStrike for faster detection and response.",Zscaler Internet Access™ (ZIA) for Falcon,images.store.crowdstrike.com/9748z14dd5zg/6tCkFZ68OYvdpQnoKROVwt/2897d9a4861f31ef4a8468fd13eef7c4/Zscaler_icon_square.png,Zscaler,Zscaler,,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Elevate threat detection and response using ZIA™ data in CrowdStrike Falcon LogScale. By real-time streaming of ZIA logs to Falcon LogScale, enjoy heightened Security Service Edge (SSE) visibility, alerting, cross-log correlation, and extended storage for more effective threat hunting, featuring tailored parsers and dashboards.",Zscaler Internet Access™ for Falcon LogScale,images.store.crowdstrike.com/9748z14dd5zg/6tCkFZ68OYvdpQnoKROVwt/2897d9a4861f31ef4a8468fd13eef7c4/Zscaler_icon_square.png,Zscaler,Zscaler,,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Streamline cross-domain response actions for faster and more precise incident handling using CrowdStrike Falcon Insight XDR and Zscaler Internet Access (ZIA™). This integration enables automated responses, including user access restrictions through Zscaler Browser Isolation, effectively mitigating advanced threats.",Zscaler Internet Access™ Response Actions for Falcon Insight XDR,images.store.crowdstrike.com/9748z14dd5zg/6tCkFZ68OYvdpQnoKROVwt/2897d9a4861f31ef4a8468fd13eef7c4/Zscaler_icon_square.png,Zscaler,Zscaler,,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
The CrowdStrike Falcon® and ZPA™ integration provides the ability to assess device health and automatically implement appropriate access control and ensure only compliant devices and authenticated users can access authorized private applications.,Zscaler Private Access™ (ZPA) for Falcon,images.store.crowdstrike.com/9748z14dd5zg/6tCkFZ68OYvdpQnoKROVwt/2897d9a4861f31ef4a8468fd13eef7c4/Zscaler_icon_square.png,Zscaler,Zscaler,,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Integrate ZPA™ logs seamlessly into CrowdStrike Falcon® LogScale to enhance Zero Trust network access (ZTNA) insights, improving threat detection and response. Leveraging Zscaler’s Log Streaming Service (LSS), this integration provides real-time log streaming, correlation, and actionable insights for your team within Falcon LogScale.",Zscaler Private Access™ for Falcon LogScale,images.store.crowdstrike.com/9748z14dd5zg/6tCkFZ68OYvdpQnoKROVwt/2897d9a4861f31ef4a8468fd13eef7c4/Zscaler_icon_square.png,Zscaler,Zscaler,,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Acalvio ShadowPlex provides visibility into attack vectors in identity repositories and caches across the enterprise network. ShadowPlex combines this visibility with CrowdStrike detections and vulnerability assessments, to show the possible attack paths that an attacker can exploit for privilege escalation and lateral movement. ShadowPlex also integrates with the CrowdStrike Falcon® agent on endpoints to deploy and manage a comprehensive layer of deception in order to detect identity-based attacks and generate high fidelity alerts. Organizations are also enabled with automated real-time responses via the CrowdStrike Falcon platform, simplifying operations and speeding up response.",Acalvio ShadowPlex Identity Security,images.store.crowdstrike.com/9748z14dd5zg/4lOd0qAcmXESxBnDWKeApI/9cecc9be45aa0b6b3b37d44dad487adb/acalvio_logo_square.png,Acalvio Technologies,Acalvio Technologies, order on list 18,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Businesses rely on numerous SaaS applications to run their operations, while each SaaS app comes with native security controls, ensuring that each app is properly configured falls on the organisation. The Adaptive Shield SaaS Security Posture Management platform enables security teams to gain complete control over all business-critical SaaS applications, featuring proactive and continuous monitoring capabilities. By correlating rich CrowdStrike endpoint telemetry and CrowdStrike Falcon® Zero Trust Assessment (ZTA) scoring within Adaptive Shield, your security team will gain unprecedented context and visibility to easily see and manage the risks that stem from SaaS users and their associated devices.",Adaptive Shield SaaS Security Posture Management,images.store.crowdstrike.com/9748z14dd5zg/6ZxnYF6tzq1xHU7FYwzB7N/f3742994b88c0bbec6dda2503a6fe704/AdaptiveShield_icon_square.png,Adaptive Shield,Adaptive Shield, order on list 19,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Developed by cybersecurity practitioners, Airlock addresses the technical and organizational challenges typically associated with allowlisting. Airlock delivers purpose-built workflows that enable rapid and scalable deployment while significantly reducing staffing resources required for day-to-day management. Airlock also provides rich file visibility across the organization, by collecting and building a centralized database of files seen within the environment. This data can be interrogated at anytime and is further enhanced by CrowdStrike Falcon® EDR telemetry.",Airlock Allowlisting,images.store.crowdstrike.com/9748z14dd5zg/3agnKKlMdE08C7k4Lr7sYY/9dad45eb01fae0192ce634c24e6bd007/Airlock_icon_square.png,Airlock Digital,Airlock Digital, order on list 20,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"ArcSight Intelligence’s UEBA engine uses unsupervised machine learning and expanded behavioral analytics models on your CrowdStrike Falcon® data to detect insider threats, critical vulnerabilities, compromised accounts, lateral movement, internal recon, or data exfiltration to reduce dwell time. Utilize the power of unsupervised machine learning to discover the ""unique normal"" baseline of every user, machine, and entity in your organization. ArcSight Intelligence automatically leverages your organization's baseline to detect hard to find suspicious activity in your organization’s blind spots that may indicate potential threats.",ArcSight Intelligence,images.store.crowdstrike.com/9748z14dd5zg/7HlxLXgo1uVuTJZq5SnRof/eb4d2f9af3e976de9f587f7324a4241e/ArcSight_Mark_Blue.png,OpenText Cybersecurity,OpenText Cybersecurity, order on list 21,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Beyond Identity is a technology innovator in the Zero Trust Authentication space by providing strong identity validation via phishing-resistant multi-factor authentication (MFA), device trust validation based on granular risk telemetry, and continuous device posture checks and policy enforcement.The Beyond Identity integration with the CrowdStrike Falcon® platform augments an organization’s ability to enforce device trust by validating the presence of the Falcon agent on the endpoint and ingesting CrowdStrike user and device risk signals derived from CrowdStrike Falcon Zero Trust Assessment (ZTA) scores. In this way, organizations can monitor and ensure adherence to precise authorization policies throughout a session, quarantining devices that fall out of compliance.",Beyond Identity Zero Trust Authentication,images.store.crowdstrike.com/9748z14dd5zg/4G35FfnEZEblP01kxYxRPC/9300164e725c20ae17538056aff6cdea/Beyond_Identity_Logo.png,Beyond Identity,Beyond Identity, order on list 22,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"With Cybersixgill Darkfeed, CrowdStrike users can proactively protect against threats with automated intelligence in real-time. Darkfeed is the most comprehensive, automated IOC enrichment solution, powered by Cybersixgill’s data lake of underground threat intelligence. It delivers contextual insights to enrich endpoint protection in real-time – straight from the CrowdStrike Falcon® dashboard.",Cybersixgill Darkfeed,images.store.crowdstrike.com/9748z14dd5zg/1pshVstgfVUUA5EOUuOhty/f9518c414db83666b9d3d1a2adfdb55d/Cybersixhill_icon_square.png,Cybersixgill,Cybersixgill, order on list 23,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"DoControl provides organizations with the automated, self-service tools they require for Software as a Service (SaaS) application data access monitoring, orchestration, and remediation. DoControl is an agentless, event-driven platform that modernizes data loss prevention (DLP) and Cloud Access Security Broker (CASB) approaches to secure business-critical SaaS data and files. The DocControl Platform ingests rich security data from the CrowdStrike Falcon® platform to cross-reference security events against data files within your SaaS applications to monitor for malicious activity or compromises across new and existing files. With DoControl and CrowdStrike, your security and IT teams gain complete asset management, continuous monitoring, and no-code automated security workflows configured by you to prevent data breaches in business-critical SaaS applications.",DoControl SaaS Security Platform,images.store.crowdstrike.com/9748z14dd5zg/6hIjx4ImQs9yARowsoVO17/7fd0fedd253db00c10f2369c0e394a0a/docontrol_icon_square.png,DoControl,DoControl, order on list 24,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"DomainTools Iris Threat Intelligence delivers predictive risk assessments and DNS intelligence directly to the analyst inside the Falcon platform and enables rapid in-context profiling of domain observables. The integration brings in DomainTools Risk Score along with the entire Threat Profile dataset to assist Falcon users in making instantaneous decisions on domain indicators. DomainTools Risk Score predicts how likely a domain is to be malicious, often before it is operationalized, reducing the window of vulnerability.",DomainTools Iris,images.store.crowdstrike.com/9748z14dd5zg/1xwI2mHi35ugEasLZxeRLg/eaf2de88e0002e5aa658011439b1534a/Domaintools_icon_square.png,DomainTools,DomainTools, order on list 25,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"In today’s threat environment, adversaries focused on industrial control systems (ICS) are commonly known to penetrate industrial organizations via the enterprise IT network and then pivot into the production OT (operational technology) network. By understanding what adversaries are operating in the IT network, you get an early warning about potential threats against your production systems to reduce the risk of disrupted operations. This is accomplished by leveraging Dragos WorldView industrial threat intelligence against your endpoint data collected in your CrowdStrike Falcon® platform.",Dragos ICS/OT Threat Detection,images.store.crowdstrike.com/9748z14dd5zg/2RSvyr07w8DRENWaOixctF/732a91fc842a6b91ab86e668580866ce/Dragos_ICS_OT_Threat_Detection_logo,Dragos,Dragos, order on list 26,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Elevate Security allows security teams to quickly assess and mitigate risky employees and employ automated playbooks to adaptively respond to potential threats. Elevate’s seamless integration with CrowdStrike leverages APIs to provide a comprehensive view of employee behavior and threats. By leveraging the CrowdStrike Falcon® platform’s enriched security data, security teams get a rapid assessment of risky employees based on their actions, frequency they’re targeted, and by whom they are targeted, alongside a scalable, tailored approach to managing risk.",Elevate Platform,images.store.crowdstrike.com/9748z14dd5zg/6ehfoJ9hAitCYKCIew8JPK/a5381fb5aaee8b7cf3febd5353da429a/Elevate_icon_square.png,Elevate Security,Elevate Security, order on list 27,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"As attackers’ techniques evolve and user’s ability to do their job from anywhere, on any device increases, security teams must embrace a new approach to security, enabling them to work smarter, not harder. Gone are the days where SOC teams could afford to spend hours trying to understand the scope and severity of an attack. SOC teams need answers fast so they can keep the organization secure. Exabeam, working with CrowdStrike, takes the guesswork out of identifying and mitigating advanced threats.",Exabeam,images.store.crowdstrike.com/9748z14dd5zg/2YZjgZmk0uy1bCBz20ZTQd/26e680a7ed49aa8e945a3e89bb0b7e90/Exabeam_icon_square.png,Exabeam,Exabeam, order on list 28,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"ExtraHop Reveal(x) 360 offers powerful network analysis across multi-cloud, on-premises, and hybrid environments. Using advanced cloud-scale machine learning, it swiftly identifies hidden advanced attack behaviors throughout your entire network. By seamlessly combining security telemetry from CrowdStrike Threat Graph® with observed network behavior, Reveal(x) 360 provides a holistic view of threats in its console. Additionally, you can leverage its integration with the CrowdStrike Falcon® platform to enable automated containment against active network-based threats.",ExtraHop Reveal(x) 360,images.store.crowdstrike.com/9748z14dd5zg/7ERPvm8UqP0tRDyqZEHEKK/75960c54bd0cc5c1a0398e60fa3f06cd/Extrahop_icon_square.png,ExtraHop,ExtraHop, order on list 29,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Hunters SOC Platform can replace your SIEM by delivering data ingestion, built-in and always up-to-date threat detection, and automated correlation and investigation to reduce risk, cost and complexity for SOC teams. Connect Hunters’s unique detection capabilities with the CrowdStrike Falcon® platform’s rich security data, such as running processes, network connections and file creations, and other data sources to attain full attack insight for faster response times.",Hunters SOC Platform,images.store.crowdstrike.com/9748z14dd5zg/6k0AqSgscrCyUZEard61s5/f3f3aa0e326652adf726ea2e6cc1b17b/Hunter_icon_square.png,Hunters,Hunters, order on list 30,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"The IPQS integration with the CrowdStrike Falcon® platform enhances detection for complex cyber-attacks including malware, phishing, account takeover, credential stuffing, bots, and much more. By accurately identify botnets, residential proxies, and compromised connections, you can get ahead of sophisticated bad actors and cyber criminals committing fraud or abuse. The IPQS threat network features over 10,000 honeypots and traps distributed globally across the public web and dark web. These traps provide you with insight forbad actors online, including thousands of abuse reports per second for hijacked devices, stolen user credentials, botnets, and abusive users. Minimize false-positives with intelligent scoring from machine learning paired with dark web data and abusive behavior reports across the IPQS threat network.","IPQS Fraud, Threat, & Risk Scoring",images.store.crowdstrike.com/9748z14dd5zg/5NYOiZEClybwfXf9U2JAXf/83a128c80e1569ccdd0961b1c56eac66/IPQualityScore_icon_square.png,IPQualityScore,IPQualityScore, order on list 31,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"ITsMine provides a consolidated view into data access and actions across your organization. By integrating ITsMine with the CrowdStrike Falcon® platform, you can seamlessly detect and protect against breaches, ransomware attacks, and insider threats. ITsMine provides unique SoftwareMines that imitate files lying within your file storages to enhance the detection of elusive threats. If there are potentially malicious users accessing your data, ITsMine will immediately alert Falcon to then automatically contain the network for faster, more effective response. In addition, by using a method similar to anti-phishing campaigns, ITsMine provides intuitive awareness training based on rich CrowdStrike endpoint data to positively influence user behavior as it continually reinforces data security best practices.",ITsMine File Protection and Data Security,images.store.crowdstrike.com/9748z14dd5zg/7m0sQ1MsRtu31iy7vrlCKu/17ca03ab601a991fb153de9a65cfd946/ItsMine_icon_square.png,ITsMine,ITsMine, order on list 32,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"The JumpCloud Device Management platform integrates with the CrowdStrike Falcon platform to provide effective full disk encryption. Allowing you to seamlessly enable Bitlocker and FileVault 2 encryption across your fleet through integrated JumpCloud device policies. With the CrowdStrike Falcon integration you can deploy to individual hosts or thousands of managed endpoints through group-based policy management.  JumpCloud automatically escrows the recovery keys of encrypted drives, preventing wasted time and data loss.",JumpCloud Full Disk Encryption,images.store.crowdstrike.com/9748z14dd5zg/3MDsSgmVyx8aK0kDPaPuqG/2eb2487539ec73159e886e07fbdd46a6/JumpCloud_icon_square.png,JumpCloud,JumpCloud, order on list 33,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
Ensure your organization is running on the most up-to-date technology to eliminate risk and vulnerability. Enable automatic patch management for major and minor OS updates and browsers. The JumpCloud integration with the CrowdStrike Falcon platform makes it easy to deploy the JumpCloud agent across your entire fleet.,JumpCloud Patch Management,images.store.crowdstrike.com/9748z14dd5zg/3MDsSgmVyx8aK0kDPaPuqG/2eb2487539ec73159e886e07fbdd46a6/JumpCloud_icon_square.png,JumpCloud,JumpCloud, order on list 34,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Improve security posture with Unified VRM®️ as it continually ingests CrowdStrike Falcon® Spotlight vulnerabilities, and enriches the data with aggregated threat intelligence and context from over 30 different sources to prioritize and accelerate vulnerability remediation. Unified VRM consolidates and prioritizes risks, putting an end to vulnerability fatigue. Integration with industry standard ticketing and patching systems dramatically reduces the time necessary to fix critical vulnerabilities.",NopSec Unified VRM,images.store.crowdstrike.com/9748z14dd5zg/4p6Zdwuh9gnobqanxokMKt/ca223785c007bda8886212b0feca65cf/NopSec_icon_square.png,NopSec,NopSec, order on list 35,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Obsidian is the SaaS security posture management (SSPM) platform designed to help you proactively minimize risk and continuously mitigate threats to business-critical applications like Microsoft 365, Google Workspace, Salesforce, Workday, ServiceNow, and more. Integrate Obsidian with the CrowdStrike Falcon® platform for complete visibility across your endpoints and cloud applications, giving your team seamless security coverage across the entire last mile.",Obsidian SaaS Security Platform,images.store.crowdstrike.com/9748z14dd5zg/49DWgsRFEMpQTYzNE1fddp/cd16b016816d0c45e4cb30e24eb9cdf0/Obsidian_Security_logo.png,Obsidian Security,Obsidian Security, order on list 36,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"OPSWAT MetaDefender Cloud provides real-time hash, IP and domain analysis and reports using advanced threat prevention, detection and binary reputation technologies. This cloud-based cybersecurity threat detection and prevention solution uses 20+ anti-malware engines and easily integrates with the CrowdStrike Falcon® platform.",OPSWAT MetaDefender Cloud,images.store.crowdstrike.com/9748z14dd5zg/395NXaUl4YXGpet209uORV/0a24056c3425ae37ccb42eb059736318/Opswat_icon_square.png,OPSWAT,OPSWAT, order on list 37,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Perception Point’s X-Ray seamlessly plugs into CrowdStrike Falcon® to contain and remediate malicious incidents that successfully breach the enterprise and are subsequently detected on the endpoint. Instant and automated, X-Ray scans all channels (email, CRM, cloud storage and more) to identify where else the content was sent and prevent further transmission. Lightning-fast, unlimited in scale, and covering the range of attack techniques, the X-Ray provides a complete channel audit within minutes, while actively remediating and containing the incident.",Perception Point X-Ray,images.store.crowdstrike.com/9748z14dd5zg/1fjmk2oZc5H1ZXCPBIM4jS/a5bada774212bae007be1a026c70e9a9/PerceptionPoint_icon_square.png,Perception Point,Perception Point, order on list 38,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"SafeGuard Cyber has the unique ability to understand the context and intent of communications. The SafeGuard Cyber platform integrates directly into workplace communication channels via APIs and uses patented Natural Language Understanding (NLU) technology and cloud-based machine learning (ML) to detect security risks in the dynamic medium of human language. With coverage for over 30 communications channels, including M365, Slack, WhatsApp, Telegram, Zoom and LinkedIn, and with auto-detection of more than 50 languages, security teams can deploy an unprecedented level of deep visibility needed to stop advanced security attacks. SafeGuard Cyber leverages this context to enrich the threat intelligence in the CrowdStrike® platform, allowing your security team to be made aware of threats occurring in your protected digital platforms faster.",SafeGuard Cyber Business Communication Security,images.store.crowdstrike.com/9748z14dd5zg/34wIcDaMYe4okn2bNXe6sV/6a242bb1275cee49c2513f6e050d965c/SafeGuard_icon_square.png,SafeGuard Cyber,SafeGuard Cyber, order on list 39,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"SecurityScorecard Cyber Risk Ratings leverage proprietary techniques and a globally distributed network of active and passive scanners to identify the publicly facing digital assets that belong to your organization. Your team can monitor these assets for security issues that are recognized by NIST and other widely adopted cybersecurity frameworks. View SecurityScorecard’s easy-to-understand A-F grade scale within the CrowdStrike Falcon® console through its context enrichment card to mitigate breach risk, and gain actionable details for every issue surfaced. With CrowdStrike® and SecurityScorecard, you can easily monitor your organization, and up to five third parties (vendors, suppliers, peers or competitors) to take control of the cyber risks within your internal and external environments.",SecurityScorecard Cyber Risk Ratings,images.store.crowdstrike.com/9748z14dd5zg/3uTbR1MkDvyKTISulW9OMl/a4e899147622c1066fc02103880cc53b/SecurityScorecard_icon_square.png,SecurityScorecard,SecurityScorecard, order on list 40,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"Siemplify Security Orchestrations, Automation & Response is an intuitive, holistic workbench that makes your security operations smarter, more efficient and more effective. By combining security orchestration, automation and response (SOAR) with context-driven case management, investigation, and machine learning, your analysts are more productive, security engineers are more effective, and managers are more informed about SOC performance.","Siemplify Security Orchestrations, Automation & Response",images.store.crowdstrike.com/9748z14dd5zg/2Squ6uypAgnDWL3B9uSPWx/fbb7ba5d5485f693d5162d320ea0a375/Siemplify_Security_Orchestrations__Automation___Response_logo,Siemplify,Siemplify, order on list 41,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"When CrowdStrike and Tines are combined, all aspects of security operations and team culture benefit. Everything from alert enrichment to full-cycle incident response (IR) and compliance is enabled and automated. Tines extends the CrowdStrike Falcon® platform with an immediate channel for integration into any customer‚ existing security investments or platforms without requiring engineering development time. By embracing easy and flexible no-code security automation, defenders regain time to move from a reactive to a proactive stance and deliver a more resilient security posture across their organizational footprint.",Tines No-code Automation,images.store.crowdstrike.com/9748z14dd5zg/5cZflIqZ5hCAI0ZxF63tdw/193f9315046fd861e7a852e121c82927/Tines_icon_square.png,Tines,Tines, order on list 42,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
"TrueFort Fortress extends your CrowdStrike Falcon® investment to deliver Zero Trust application protection. Visualize your application flows and dependencies, automatically generate policies based on observed behavior, monitor for anomalies, streamline investigations, enable automated policy enforcement, and deliver robust reports—reducing excessive trust and related risks. Fortress uses application behavior telemetry from the Falcon platform, machine intelligence, and automation to continuously assess and learn each application’s trusted runtime behaviors and create a dynamic application trust graph. With this zero trust baseline for authorized behavior, Fortress continuously analyzes and monitors the entire application environment for risk-related deviations. The platform automatically adapts the application trust graph to maintain risk posture control across all your applications.",TrueFort Fortress,images.store.crowdstrike.com/9748z14dd5zg/6gjmNi7L0X4zgxUb3TwaSo/cfbe9f3d023585781edadb7d562a24ca/TureFort_icon_square.png,TrueFort,TrueFort, order on list 43,<function get_current_date at 0x7efb44eace00>,Null,Null,Null,Null 
